                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3507,                 2.7087,                 1.8531,                0.12842,                0.76623,                0.55079,                0.22149,                 1.5582,                 3.0871,                 1.9936,                0.00058,                0.00058,                0.00058
                      2,                 1.2198,                 1.7937,                 1.6149,                0.83737,                0.66876,                 0.7596,                0.42588,                 1.5601,                 2.0298,                 1.9195,              0.0010632,              0.0010632,              0.0010632
                      3,                 1.2274,                 1.4816,                 1.5923,                0.48257,                0.38961,                0.35826,                0.07799,                 2.3072,                 2.6126,                 3.0681,              0.0014276,              0.0014276,              0.0014276
                      4,                 1.2158,                  1.271,                 1.5867,                0.59322,                 0.5114,                0.45869,                 0.1455,                 2.0503,                 2.4034,                 2.4839,               0.001406,               0.001406,               0.001406
                      5,                 1.2054,                 1.0879,                 1.5573,                0.37003,                0.35065,                 0.3212,                0.11873,                 2.4421,                 2.5363,                  2.629,               0.001406,               0.001406,               0.001406
                      6,                 1.1297,                0.91173,                 1.4902,                0.79149,                0.69018,                0.77986,                0.37413,                 1.7046,                 1.3565,                 1.8415,               0.001208,               0.001208,               0.001208
                      7,                 1.1058,                0.81203,                 1.4706,                0.75933,                0.79221,                0.74405,                0.36048,                 1.5724,                 1.3396,                 1.7192,                0.00101,                0.00101,                0.00101
                      8,                 1.0548,                0.76483,                 1.4084,                0.99196,                0.87013,                0.95413,                0.59766,                 1.2512,                0.80438,                 1.4104,               0.000812,               0.000812,               0.000812
                      9,                0.98061,                0.68614,                 1.3669,                0.98109,                0.90909,                0.96326,                0.67296,                 1.1059,                 0.6729,                 1.3379,               0.000614,               0.000614,               0.000614
                     10,                0.94697,                0.60502,                 1.3251,                0.94773,                0.94192,                0.97016,                0.61841,                 1.2143,                0.65036,                 1.3694,               0.000416,               0.000416,               0.000416
