                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.35522,                 0.2619,                 1.0283,                      1,                0.99534,                  0.995,                0.79805,                 0.7772,                0.35275,                 1.5293,                0.00018,                0.00018,                0.00018
                      2,                0.39816,                0.27119,                 1.0779,                0.99266,                      1,                  0.995,                0.80336,                0.77988,                0.38301,                 1.5506,             0.00037624,             0.00037624,             0.00037624
                      3,                 0.4349,                0.29412,                  1.098,                 0.9666,                0.96476,                  0.989,                0.75991,                0.92064,                0.45867,                 1.6808,             0.00056852,             0.00056852,             0.00056852
                      4,                0.45964,                0.29686,                 1.1341,                0.95994,                0.96667,                0.98067,                0.77864,                0.84636,                0.49409,                 1.6446,             0.00075683,             0.00075683,             0.00075683
                      5,                0.51381,                 0.3282,                 1.2111,                0.96255,                0.96667,                0.97125,                0.67777,                 1.1034,                0.61703,                 1.7976,             0.00094119,             0.00094119,             0.00094119
                      6,                0.47056,                0.30584,                 1.1488,                0.96147,                0.96667,                0.98305,                 0.7169,                 1.0159,                0.54082,                 1.7988,              0.0011216,              0.0011216,              0.0011216
                      7,                0.49443,                0.31112,                 1.1568,                0.96017,                0.96667,                  0.989,                0.73572,                0.91248,                0.59096,                 1.7134,               0.001298,               0.001298,               0.001298
                      8,                0.45821,                0.30294,                 1.1142,                0.96698,                0.96667,                0.97391,                0.76635,                0.86359,                0.62483,                 1.7293,              0.0014705,              0.0014705,              0.0014705
                      9,                0.49545,                0.30819,                 1.1486,                0.99664,                      1,                  0.995,                0.76487,                0.91622,                0.54798,                 1.7316,               0.001639,               0.001639,               0.001639
                     10,                0.48548,                0.30682,                 1.1385,                0.81355,                 0.8728,                0.89561,                0.53059,                 1.2521,                 1.1944,                  2.131,              0.0018036,              0.0018036,              0.0018036
                     11,                0.50613,                0.33129,                 1.1693,                0.93374,                0.93333,                0.96704,                0.74341,                 0.9491,                0.62134,                 1.8434,               0.001802,               0.001802,               0.001802
                     12,                0.54728,                0.32667,                 1.2233,                0.93731,                0.99694,                0.98646,                0.74561,                0.94561,                0.62699,                 1.8061,              0.0017822,              0.0017822,              0.0017822
