                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0387,                 2.0501,                 1.5476,                0.99936,                      1,                  0.995,                0.70348,                0.96754,                  2.195,                 2.0301,                 0.0004,                 0.0004,                 0.0004
                      2,                0.92999,                 1.1898,                 1.4111,                      1,                0.92887,                0.99047,                 0.5979,                 1.2276,                 2.1388,                 2.5574,             0.00080376,             0.00080376,             0.00080376
                      3,                0.94444,                 1.0899,                 1.3951,                0.88877,                0.79907,                0.90048,                0.51102,                 1.1807,                 2.1909,                 2.1455,              0.0011909,              0.0011909,              0.0011909
                      4,                 0.9131,                 0.9608,                  1.374,                0.48739,                0.66667,                 0.5523,                0.19335,                 1.8245,                 3.3386,                  2.935,              0.0015614,              0.0015614,              0.0015614
                      5,                0.88591,                0.92079,                 1.3694,                 0.9673,                 0.9864,                0.99403,                0.72377,                0.97418,                 1.4644,                  2.144,              0.0018416,              0.0018416,              0.0018416
                      6,                 0.8767,                0.86017,                 1.3464,                0.76653,                    0.8,                0.84441,                0.52795,                 1.3422,                 1.5254,                 2.3446,               0.001802,               0.001802,               0.001802
                      7,                0.90349,                0.78478,                 1.3563,                0.96756,                0.99422,                0.99403,                0.73785,                 1.0286,                0.85758,                 1.9366,              0.0017624,              0.0017624,              0.0017624
                      8,                0.93975,                0.80368,                 1.3925,                0.99129,                0.96667,                0.99312,                 0.6938,                 1.0212,                0.87772,                 1.9367,              0.0017228,              0.0017228,              0.0017228
                      9,                   0.85,                0.72316,                 1.3146,                0.79984,                0.93333,                0.86605,                0.42641,                 1.4097,                 1.8308,                 2.1974,              0.0016832,              0.0016832,              0.0016832
                     10,                0.92131,                0.71844,                  1.369,                0.93239,                      1,                0.98642,                 0.7009,                 1.0514,                 1.0085,                 1.8353,              0.0016436,              0.0016436,              0.0016436
                     11,                0.83636,                0.67091,                 1.3139,                0.99401,                      1,                  0.995,                0.77869,                0.88038,                0.67921,                 1.5922,               0.001604,               0.001604,               0.001604
                     12,                0.84562,                0.65166,                  1.329,                0.99168,                      1,                  0.995,                0.73454,                0.97939,                0.76063,                 1.7698,              0.0015644,              0.0015644,              0.0015644
                     13,                0.77982,                0.60567,                 1.2792,                0.99616,                0.96667,                0.99147,                0.75986,                0.88672,                0.64338,                 1.6442,              0.0015248,              0.0015248,              0.0015248
                     14,                0.80417,                0.60492,                  1.287,                0.99602,                0.96667,                0.99403,                0.77266,                0.90456,                0.61401,                 1.6348,              0.0014852,              0.0014852,              0.0014852
                     15,                0.76661,                0.55509,                  1.245,                      1,                0.99424,                  0.995,                0.71725,                 1.0418,                0.67167,                 1.7983,              0.0014456,              0.0014456,              0.0014456
                     16,                0.77059,                0.54947,                 1.2638,                0.95832,                0.96667,                 0.9561,                0.66144,                 1.0718,                0.69098,                 1.8466,               0.001406,               0.001406,               0.001406
                     17,                0.81015,                0.56798,                 1.2966,                0.96216,                0.96667,                0.96576,                0.67947,                 1.2242,                0.60876,                 2.1933,              0.0013664,              0.0013664,              0.0013664
