                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4018,                 1.9266,                 1.6392,                0.15961,                0.07792,                 0.0311,                0.00783,                 2.8539,                 4.3352,                 4.1699,                0.07158,                0.00058,                0.00058
                      2,                 1.3432,                 1.1674,                 1.5691,                0.33171,                0.41558,                0.33148,                0.13331,                 2.1072,                 3.3277,                 2.6449,               0.042168,              0.0011683,              0.0011683
                      3,                  1.338,                 1.0265,                 1.5305,                0.71147,                0.64935,                0.70638,                0.32221,                 1.8314,                 1.7032,                 2.0742,               0.012745,              0.0017448,              0.0017448
                      4,                 1.3666,                  1.016,                 1.5521,                0.70191,                0.72727,                0.71207,                0.33777,                 1.8813,                 2.2442,                 2.1082,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3048,                0.92764,                 1.4905,                0.74477,                0.64935,                 0.7074,                0.24889,                 2.1163,                  1.561,                 2.3673,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.3014,                0.91143,                 1.4863,                0.79484,                0.77922,                0.87314,                0.51667,                 1.3398,                 1.1658,                  1.492,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.2476,                0.86183,                 1.4446,                0.71009,                0.69981,                0.77087,                0.45553,                 1.3802,                 1.1893,                 1.5765,               0.001901,               0.001901,               0.001901
                      8,                 1.2297,                0.86569,                 1.4611,                0.74711,                0.74026,                0.78492,                0.46302,                 1.3738,                 1.1787,                 1.5036,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2327,                0.82782,                 1.4474,                0.85404,                0.81818,                0.89427,                0.53905,                 1.3817,                 1.0813,                 1.5209,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2056,                0.81609,                 1.4262,                0.77361,                0.72727,                0.76987,                0.37288,                 1.7279,                 1.3212,                 1.9736,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1642,                0.79076,                  1.389,                0.77209,                0.75325,                0.79092,                0.41993,                 1.6209,                 1.1365,                 1.7143,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.1312,                0.71422,                 1.3745,                0.93549,                0.83117,                0.89853,                0.40027,                 1.9541,                0.82285,                 1.9661,               0.001802,               0.001802,               0.001802
                     13,                 1.1526,                0.77319,                  1.406,                0.97037,                0.87013,                0.93334,                0.56781,                  1.394,                0.79843,                 1.5349,              0.0017822,              0.0017822,              0.0017822
